"model","accuracy","sensitivity","specificity","balanced_accuracy","precision","f1","mse_class","auc"
"Logistic Regression (CV-tuned threshold = 0.90)",0.697674418604651,0.74,0.551724137931034,0.645862068965517,0.850574712643678,0.79144385026738,0.302325581395349,0.662758620689655
"kNN (k = 25, tuned vote-thr = 0.90)",0.728682170542636,0.71,0.793103448275862,0.751551724137931,0.922077922077922,0.80225988700565,0.271317829457364,0.793965517241379
"BASELINE (always predict Pass)",0.775193798449612,1,0,0.5,0.775193798449612,NA,0.224806201550388,0.5
